Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_011062_20130322_20200912_02_T1,LC08_L1TP_011062_20130322_20200912_02_T1,LC80110622013081LGN02,2013/03/22,T1,2, 011, 062, 011, 062,NADIR,   0.000,2020/09/12,2020/09/12,2013-03-22 15:31:03.372379,2013-03-22 15:31:33.1684,LGN,DAY,  41.00,  43.55,228,5,    6.841,    4.430,    5.213,LPGS_15.3.1c,60.99212675,82.97896209,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,2°53'34.08"S,79°54'26.71"W,1°54'19.26"S,80°53'57.44"W,1°54'14.72"S,78°55'11.21"W,3°53'21.73"S,80°53'56.83"W,3°53'12.48"S,78°54'58.18"W, -2.89280, -79.90742, -1.90535, -80.89929, -1.90409, -78.91978, -3.88937, -80.89912, -3.88680, -78.91616,LC08_L2SP_011062_20130322_20200912_02_T1,LC80110622013081LGN02
LC08_L2SP_011063_20130322_20200913_02_T1,LC08_L1TP_011063_20130322_20200913_02_T1,LC80110632013081LGN02,2013/03/22,T1,2, 011, 063, 011, 063,NADIR,   0.000,2020/09/13,2020/09/13,2013-03-22 15:31:27.187169,2013-03-22 15:31:56.983189,LGN,DAY,  60.89,  58.83,396,5,    6.719,    4.439,    5.044,LPGS_15.3.1c,60.57768995,80.48589544,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,4°20'20.36"S,80°12'56.09"W,3°20'57.34"S,81°12'25.38"W,3°20'51.58"S,79°13'30.32"W,5°20'09.31"S,81°12'27.32"W,5°20'00.17"S,79°13'13.58"W, -4.33899, -80.21558, -3.34926, -81.20705, -3.34766, -79.22509, -5.33592, -81.20759, -5.33338, -79.22044,LC08_L2SP_011063_20130322_20200913_02_T1,LC80110632013081LGN02
LC08_L2SP_010062_20130327_20200913_02_T1,LC08_L1TP_010062_20130327_20200913_02_T1,LC80100622013086LGN02,2013/03/27,T1,2, 010, 062, 010, 062,NADIR,   0.000,2020/09/13,2020/09/13,2013-03-27 15:26:49.382655,2013-03-27 15:27:19.178676,LGN,DAY,  90.86,  90.86,32,5,    7.853,    4.949,    6.098,LPGS_15.3.1c,61.09911381,78.83293754,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,2°53'33.79"S,78°47'44.48"W,1°54'17.75"S,79°47'16.84"W,1°54'08.57"S,77°48'24.91"W,3°53'28.39"S,79°47'09.24"W,3°53'09.64"S,77°48'04.90"W, -2.89272, -78.79569, -1.90493, -79.78801, -1.90238, -77.80692, -3.89122, -79.78590, -3.88601, -77.80136,LC08_L2SP_010062_20130327_20200913_02_T1,LC80100622013086LGN02
LC08_L2SP_010063_20130327_20200912_02_T1,LC08_L1TP_010063_20130327_20200912_02_T1,LC80100632013086LGN02,2013/03/27,T1,2, 010, 063, 010, 063,NADIR,   0.000,2020/09/12,2020/09/12,2013-03-27 15:27:13.205916,2013-03-27 15:27:43.001937,LGN,DAY,  82.16,  82.16,57,5,    7.872,    4.498,    6.461,LPGS_15.3.1c,60.58498469,76.39325615,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,4°20'21.30"S,79°06'13.97"W,3°21'05.69"S,80°05'59.39"W,3°20'51.79"S,78°06'48.17"W,5°20'16.80"S,80°05'50.89"W,5°19'54.66"S,78°06'20.99"W, -4.33925, -79.10388, -3.35158, -80.09983, -3.34772, -78.11338, -5.33800, -80.09747, -5.33185, -78.10583,LC08_L2SP_010063_20130327_20200912_02_T1,LC80100632013086LGN02
LC08_L2SP_010064_20130327_20200913_02_T1,LC08_L1TP_010064_20130327_20200913_02_T1,LC80100642013086LGN02,2013/03/27,T1,2, 010, 064, 010, 064,NADIR,   0.000,2020/09/13,2020/09/13,2013-03-27 15:27:37.024942,2013-03-27 15:28:06.820962,LGN,DAY,  83.67,  83.67,24,5,    8.142,    4.833,    6.552,LPGS_15.3.1c,60.01405847,74.05322251,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,17,WGS84,WGS84,5°47'07.04"S,79°24'46.01"W,4°47'44.23"S,80°24'43.31"W,4°47'27.60"S,78°25'18.12"W,6°47'05.32"S,80°24'35.89"W,6°46'41.77"S,78°24'45.65"W, -5.78529, -79.41278, -4.79562, -80.41203, -4.79100, -78.42170, -6.78481, -80.40997, -6.77827, -78.41268,LC08_L2SP_010064_20130327_20200913_02_T1,LC80100642013086LGN02
LC08_L2SP_009059_20130401_20200913_02_T1,LC08_L1TP_009059_20130401_20200913_02_T1,LC80090592013091LGN02,2013/04/01,T1,2, 009, 059, 009, 059,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-01 15:21:23.134557,2013-04-01 15:21:52.930578,LGN,DAY,  89.33,  89.33,92,5,    6.883,    4.558,    5.158,LPGS_15.3.1c,62.55644317,82.43372167,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,1°26'47.47"N,76°45'29.66"W,2°26'04.24"N,77°45'01.62"W,2°26'13.60"N,75°46'14.99"W,0°27'00.11"N,77°44'53.05"W,0°27'01.87"N,75°46'12.58"W,  1.44652, -76.75824,  2.43451, -77.75045,  2.43711, -75.77083,  0.45003, -77.74807,  0.45052, -75.77016,LC08_L2SP_009059_20130401_20200913_02_T1,LC80090592013091LGN02
LC08_L2SP_009060_20130401_20200912_02_T2,LC08_L1GT_009060_20130401_20200912_02_T2,LC80090602013091LGN02,2013/04/01,T2,2, 009, 060, 009, 060,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-01 15:21:46.957818,2013-04-01 15:22:16.753839,LGN,DAY,  99.98,  99.98,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,62.12684659,79.76454383,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,0°00'00.79"S,77°03'56.23"W,0°59'21.34"N,78°03'19.40"W,0°59'25.80"N,76°04'39.40"W,0°59'40.85"S,78°03'19.40"W,0°59'45.35"S,76°04'39.40"W, -0.00022, -77.06562,  0.98926, -78.05539,  0.99050, -76.07761, -0.99468, -78.05539, -0.99593, -76.07761,LC08_L2SP_009060_20130401_20200912_02_T2,LC80090602013091LGN02
LC08_L2SP_009061_20130401_20200912_02_T2,LC08_L1GT_009061_20130401_20200912_02_T2,LC80090612013091LGN02,2013/04/01,T2,2, 009, 061, 009, 061,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-01 15:22:10.776844,2013-04-01 15:22:40.572864,LGN,DAY,  99.97,  99.97,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,61.63390920,77.19220952,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,1°26'47.69"S,77°22'22.62"W,0°27'28.44"S,78°21'42.84"W,0°27'30.82"S,76°23'05.17"W,2°26'18.71"S,78°21'53.39"W,2°26'31.34"S,76°23'09.49"W, -1.44658, -77.37295, -0.45790, -78.36190, -0.45856, -76.38477, -2.43853, -78.36483, -2.44204, -76.38597,LC08_L2SP_009061_20130401_20200912_02_T2,LC80090612013091LGN02
LC08_L2SP_009062_20130401_20200912_02_T2,LC08_L1GT_009062_20130401_20200912_02_T2,LC80090622013091LGN02,2013/04/01,T2,2, 009, 062, 009, 062,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-01 15:22:34.600105,2013-04-01 15:23:04.396125,LGN,DAY,  99.96,  99.96,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,61.08077604,74.72278431,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,2°53'34.91"S,77°40'50.02"W,1°54'14.90"S,78°40'04.37"W,1°54'26.06"S,76°41'24.68"W,3°52'52.90"S,78°40'27.30"W,3°53'15.65"S,76°41'35.27"W, -2.89303, -77.68056, -1.90414, -78.66788, -1.90724, -76.69019, -3.88136, -78.67425, -3.88768, -76.69313,LC08_L2SP_009062_20130401_20200912_02_T2,LC80090622013091LGN02
LC08_L2SP_009063_20130401_20200913_02_T2,LC08_L1GT_009063_20130401_20200913_02_T2,LC80090632013091LGN02,2013/04/01,T2,2, 009, 063, 009, 063,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-01 15:22:58.423366,2013-04-01 15:23:28.219387,LGN,DAY,  38.49,  38.49,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,60.47095472,72.36154551,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,18,WGS84,WGS84,4°20'21.48"S,77°59'19.18"W,3°20'57.52"S,78°58'26.04"W,3°21'19.33"S,76°59'49.78"W,5°19'32.70"S,78°59'03.34"W,5°20'07.44"S,77°00'08.57"W, -4.33930, -77.98866, -3.34931, -78.97390, -3.35537, -76.99716, -5.32575, -78.98426, -5.33540, -77.00238,LC08_L2SP_009063_20130401_20200913_02_T2,LC80090632013091LGN02
